Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
10.00347662	2499.616943	0.000216813	2.08E-07
10.00235796	2498.416748	0.000218436	1.39E-06
10.00222254	2491.91626	0.000216714	4.25E-07
10.00203419	2482.502686	0.000217058	3.81E-07
10.00180149	2472.496826	0.000216759	3.91E-07
10.00155115	2462.081177	0.00021681	4.23E-07
10.00123453	2452.45874	0.000216904	4.04E-07
10.0010252	2441.909302	0.000216938	3.56E-07
10.00101089	2432.467163	0.000216847	4.41E-07
10.00118685	2422.018555	0.000216942	3.84E-07
10.00136852	2411.976318	0.000217075	4.32E-07
10.00143194	2401.966797	0.000217041	3.82E-07
10.00137281	2391.984253	0.000216864	4.50E-07
10.00128031	2382.435547	0.000216499	3.35E-07
10.00132561	2372.424316	0.000217061	4.08E-07
10.00149059	2362.47644	0.000216844	3.76E-07
10.00147104	2351.962158	0.000217233	3.79E-07
10.00149727	2342.450684	0.000217029	4.08E-07
10.00157213	2332.480225	0.000216525	4.82E-07
10.00136042	2321.993774	0.000217146	4.14E-07
10.00106812	2312.096069	0.00021702	3.67E-07
10.00088263	2302.161865	0.000216914	4.34E-07
10.00061512	2292.623535	0.000216895	3.87E-07
10.00036335	2282.56665	0.000217111	4.29E-07
10.00025845	2272.594482	0.000216682	3.67E-07
10.00020313	2262.560059	0.000216795	4.07E-07
10.00022984	2252.587891	0.000217096	4.28E-07
10.00033808	2242.607788	0.000217097	4.25E-07
10.0003643	2232.651123	0.00021689	4.20E-07
10.00051022	2222.666992	0.000217145	2.86E-07
10.00050735	2212.089478	0.000216845	4.43E-07
10.00049305	2202.214233	0.000216954	3.92E-07
10.0004921	2192.726807	0.000216969	4.44E-07
10.00052547	2182.631836	0.000216973	3.55E-07
10.00042868	2172.626709	0.000216923	4.07E-07
10.00044107	2162.161011	0.000217179	4.28E-07
10.00051975	2152.611572	0.000216917	3.48E-07
10.00046253	2142.576904	0.000216855	4.02E-07
10.00021219	2132.558838	0.000216722	4.58E-07
9.999911785	2122.662109	0.000217	4.03E-07
9.99936533	2112.093262	0.000217159	3.67E-07
9.999336243	2102.625	0.000216605	4.37E-07
9.999386787	2092.729858	0.000217015	4.52E-07
9.99950552	2082.804443	0.000216942	3.39E-07
9.999687672	2072.762939	0.00021724	4.66E-07
10.00017166	2062.746704	0.000217104	3.59E-07
10.00059223	2052.687256	0.000216672	4.07E-07
