Magnetic Field (Oe)	Moment (emu)
2499.635254	0.000261269
2498.011353	0.000262182
2491.008789	0.000260878
2480.488281	0.000261145
2471.048706	0.000261422
2461.025513	0.000261672
2450.993652	0.000260944
2441.018799	0.000261013
2431.458862	0.000261364
2421.518799	0.000261115
2411.0979	0.000261596
2401.581421	0.000261077
2390.593262	0.000261254
2380.539795	0.000261649
2371.058716	0.000261242
2361.588867	0.000261135
2351.567261	0.000261646
2341.039185	0.000261224
2331.568359	0.000261175
2321.60144	0.000261101
2311.083496	0.000261215
2301.599731	0.000261704
2291.128662	0.000261053
2281.110962	0.000261089
2271.580322	0.000261261
2261.069458	0.000260934
2251.06189	0.000261223
2241.521851	0.000261328
2230.991943	0.000261306
2221.653687	0.000260995
2211.669312	0.000261685
2201.600952	0.000261495
2191.040894	0.000261979
2180.962402	0.000261276
2171.099121	0.000260988
2161.644775	0.000261765
2151.665649	0.000261465
2141.68335	0.000261406
2131.615845	0.000261152
2121.594116	0.00026151
2111.628296	0.000261741
2101.613647	0.000261582
2091.150146	0.000261331
2081.167603	0.000261316
2071.618164	0.000261391
2061.634888	0.000261126
2051.688721	0.00026116
2041.69397	0.00026127
2031.664612	0.000261511
2021.58429	0.00026143
2011.575867	0.000261325
2001.122864	0.00026159
1991.123047	0.000261492
1981.692078	0.000260962
1971.642761	0.000261193
1961.674072	0.000261443
1951.735779	0.000261544
1941.716919	0.000261546
1931.751587	0.000261669
1921.739502	0.000261441
1911.599426	0.000261625
1901.185547	0.000261587
1891.6828	0.000260965
1882.195618	0.000260716
1871.737549	0.000261736
1861.862244	0.000261187
1852.327393	0.000261737
1841.855652	0.000261172
1831.817749	0.000261052
1821.767578	0.000261549
1811.305786	0.000261007
1801.805298	0.000260904
1792.300049	0.000261041
1781.755127	0.000261327
1771.737976	0.00026104
1761.964661	0.000261168
1752.14624	0.000261305
1742.639099	0.000260959
1732.153442	0.000260882
1721.57428	0.000261309
1711.56488	0.00026121
1702.13562	0.00026101
1692.069092	0.000260842
1682.057251	0.000261076
1672.085205	0.000261081
1662.080994	0.000261182
1652.170044	0.000261208
1642.181274	0.000261804
1632.193665	0.000260883
1622.153137	0.000261025
1612.615051	0.000260942
1602.623535	0.000261139
1592.716248	0.000261238
1582.121521	0.000261013
1571.662598	0.000260402
1562.22644	0.000261013
1552.14447	0.000260975
1542.610474	0.000260624
1532.244263	0.000260918
1522.169861	0.000260803
1512.194153	0.000260677
1502.617004	0.000261041
1492.637939	0.000260755
1482.66571	0.000260156
1472.145081	0.000260532
1462.254272	0.000260535
1452.778564	0.000260933
1442.116394	0.00026058
1432.19519	0.000260376
1422.722595	0.000260822
1412.755676	0.000260576
1402.703857	0.000260474
1392.703979	0.000260574
1382.233826	0.000260194
1372.799438	0.000260442
1362.849731	0.000260363
1352.690613	0.000260561
1342.721069	0.00026065
1332.299438	0.000260119
1322.197937	0.000260548
1312.717102	0.00026004
1302.79718	0.000260437
1292.687988	0.000260488
1282.810974	0.000260581
1272.663147	0.000260217
1263.23822	0.000260057
1252.14032	0.000259879
1242.724121	0.000260547
1232.20459	0.000259846
1222.752991	0.000259644
1212.747681	0.000260188
1203.315002	0.000260317
1193.385925	0.000260202
1182.789673	0.000259919
1172.740906	0.000260215
1162.835083	0.000260113
1152.745911	0.000260037
1142.803162	0.000259525
1132.260315	0.0002601
1122.805176	0.000259732
1113.240051	0.000259357
1103.190674	0.000259595
1092.784729	0.000260163
1082.799622	0.000259926
1072.849854	0.000259055
1062.813599	0.000259532
1053.258972	0.000259234
1042.785339	0.000259022
1032.271973	0.000258913
1022.842804	0.000259014
1012.846375	0.000259463
1003.289886	0.000258621
993.2596741	0.000259195
983.336792	0.000259176
973.381897	0.00025883
963.3603821	0.00025894
953.3587646	0.000258566
943.3165283	0.000258893
932.86026	0.000258714
922.89328	0.000258486
913.2268982	0.000258518
903.2573242	0.000258169
892.7872009	0.000258176
882.8476868	0.000258008
872.9673157	0.000258523
863.107605	0.000257569
853.0254822	0.000257943
843.6430664	0.000257907
833.1513977	0.000257608
822.0643311	0.000257706
813.5265198	0.000257695
803.5335999	0.000257391
793.3294678	0.000257487
782.8177795	0.000256786
773.4347229	0.000256457
763.4720154	0.000257031
753.5748901	0.000257255
743.5689392	0.000256869
732.9533691	0.00025658
723.0478821	0.000256599
713.5684509	0.000256963
703.567688	0.000256551
693.5185242	0.000256254
683.5091248	0.000256218
673.4936829	0.00025607
663.4548645	0.00025613
653.4582825	0.000255827
643.0063171	0.000255645
633.0888062	0.000255024
623.5592041	0.000255465
613.5273132	0.000255309
603.5885315	0.000254706
593.5531616	0.000254867
583.5043335	0.000254611
573.4568481	0.000254819
563.9454041	0.000254821
553.4718323	0.000254244
543.5463257	0.000253809
533.6234131	0.000253613
523.5646973	0.000253754
513.4852295	0.000253626
503.5623932	0.000253241
494.1132507	0.000253338
483.5868225	0.000252565
473.5410919	0.000253049
463.5923004	0.000252466
453.5976257	0.000252054
443.5336914	0.000251546
433.507843	0.000251967
423.5776978	0.000251716
413.5968781	0.000251744
403.5428162	0.000251018
393.5256348	0.000250366
383.5439453	0.000250883
374.1060486	0.000250475
364.1001434	0.000250426
353.5235443	0.000249703
343.5392761	0.000249424
333.5789185	0.000248771
323.6200104	0.000248026
314.1448364	0.000248575
303.6285706	0.000247915
294.1251831	0.00024763
284.1279297	0.000247444
273.6150055	0.000246952
263.6229095	0.000246275
254.1378174	0.000246092
243.6390915	0.000246468
233.6271362	0.000244996
224.0897522	0.000244978
214.1348419	0.000243969
204.1167526	0.000243573
194.2744446	0.000243284
184.2528687	0.000242501
174.2869034	0.000242126
164.2401886	0.000241457
154.0637665	0.000240805
143.7130966	0.000239416
134.2977448	0.000239386
123.7012177	0.000238536
114.124855	0.000237578
104.0822449	0.000237521
94.25221252	0.000235709
84.30513	0.000235167
74.36849213	0.000233279
64.30106735	0.000232461
54.16964722	0.000230688
43.69514084	0.000229517
34.18628979	0.000227326
24.00532722	0.000225116
14.34326363	0.00022179
3.739003189	0.000217744
-5.836507201	0.000209904
-15.8173027	0.000190402
-25.84657478	0.000138074
-35.35283375	6.56E-05
-45.86364555	1.77E-05
-55.82630348	-3.66E-06
-65.28321075	-1.49E-05
-75.89531326	-2.21E-05
-85.79392242	-2.68E-05
-95.84227753	-3.19E-05
-105.9503365	-3.58E-05
-115.4072418	-4.06E-05
-125.2997704	-4.50E-05
-135.3425522	-5.07E-05
-145.366684	-5.70E-05
-155.8129578	-6.63E-05
-165.3295593	-8.07E-05
-175.3571472	-0.000113692
-185.8394318	-0.000181836
-195.8055267	-0.000225431
-205.8378143	-0.000236249
-215.4077301	-0.000239369
-225.3489532	-0.000240917
-235.2744446	-0.000241937
-245.7115631	-0.000242823
-255.63694	-0.000243163
-265.2453308	-0.000244127
-275.214035	-0.000244524
-285.1949005	-0.000244889
-295.2147064	-0.000245664
-305.2119598	-0.000246537
-315.2464294	-0.000246082
-325.7061768	-0.000247363
-335.8131256	-0.000247506
-345.7529755	-0.000247678
-355.6911163	-0.000247724
-365.7697906	-0.0002485
-375.2310333	-0.000248619
-385.7755585	-0.000248336
-395.2558441	-0.000249168
-405.2323456	-0.000249773
-415.2927704	-0.000250058
-425.2961121	-0.000249796
-435.2085724	-0.000251064
-445.2309418	-0.000251018
-456.44487	-0.000250934
-465.3492737	-0.000251516
-475.2381134	-0.000251417
-485.2492065	-0.000251732
-495.2571411	-0.000251766
-505.1739349	-0.000252448
-515.7107391	-0.000252491
-525.7686462	-0.000252887
-535.2465515	-0.000252999
-545.802887	-0.000253426
-555.2554626	-0.000253662
-565.1870117	-0.000253347
-575.1237183	-0.000254238
-585.1729736	-0.000253889
-595.2611389	-0.000253957
-605.2860718	-0.0002547
-615.2764282	-0.000254401
-625.1923523	-0.000254921
-635.2043457	-0.000254906
-645.668457	-0.000254743
-654.6914063	-0.000255266
-665.172821	-0.000255341
-675.1736145	-0.000255286
-685.1224365	-0.000255873
-695.1355286	-0.000255497
-705.1008301	-0.000255839
-715.0753479	-0.000255506
-725.5726624	-0.000256538
-735.598175	-0.000256152
-745.589386	-0.000256191
-755.0955811	-0.000256341
-765.1231995	-0.000256524
-775.1126709	-0.000256899
-785.0904541	-0.000256839
-795.0687866	-0.000257052
-804.5469666	-0.000256936
-815.0499268	-0.000256982
-825.0471497	-0.000257404
-835.0539856	-0.000257157
-845.5570374	-0.000257482
-854.5713806	-0.000257623
-865.1176147	-0.00025749
-875.1538391	-0.000257916
-884.6289673	-0.000257855
-894.9857483	-0.000257888
-904.8654785	-0.00025777
-915.4680786	-0.00025846
-924.9102783	-0.000257767
-934.8651123	-0.000257709
-944.2614746	-0.000258312
-954.8587952	-0.000258569
-964.8370056	-0.000258519
-974.3804626	-0.000257972
-984.3743286	-0.000258912
-994.381134	-0.000259077
-1004.872833	-0.000258945
-1014.847809	-0.000258932
-1024.86499	-0.000259017
-1034.869934	-0.000259019
-1044.347595	-0.000258886
-1054.340576	-0.000258802
-1064.365601	-0.000258872
-1074.798462	-0.000259172
-1084.320313	-0.000259348
-1094.347412	-0.000259213
-1103.855835	-0.000259229
-1114.82135	-0.000259215
-1124.703918	-0.000259909
-1134.230835	-0.000259412
-1144.776001	-0.000259067
-1154.253662	-0.000259303
-1164.30127	-0.0002593
-1174.280273	-0.000259229
-1184.32428	-0.000259618
-1194.343262	-0.000260151
-1204.3172	-0.000259775
-1214.283264	-0.000260123
-1225.228882	-0.000260118
-1234.225952	-0.000259515
-1244.1297	-0.000259712
-1254.164124	-0.000260061
-1264.752869	-0.000260386
-1274.312744	-0.000260189
-1284.215698	-0.000260142
-1294.228394	-0.000260555
-1303.770142	-0.000260583
-1314.105408	-0.000259765
-1324.709717	-0.000259949
-1334.235046	-0.000260302
-1343.690247	-0.000260817
-1353.716064	-0.000260873
-1364.27887	-0.000260259
-1374.169617	-0.00026065
-1383.662842	-0.000260514
-1394.270264	-0.000260664
-1404.185608	-0.000260509
-1414.252625	-0.000261929
-1424.21228	-0.000260321
-1433.741333	-0.000261254
-1443.718689	-0.00026086
-1453.716431	-0.000260499
-1463.676453	-0.000260691
-1474.18219	-0.000260179
-1483.763672	-0.000260591
-1493.715088	-0.000260535
-1503.679504	-0.000260927
-1514.181641	-0.00026053
-1523.73053	-0.000260931
-1533.720886	-0.000260836
-1543.673767	-0.000260677
-1553.672119	-0.000261125
-1563.636597	-0.000260626
-1573.60022	-0.000260546
-1583.645996	-0.000261068
-1593.618835	-0.000260621
-1604.109497	-0.000261395
-1614.599731	-0.000260925
-1623.62793	-0.00026092
-1634.062561	-0.000261032
-1644.111755	-0.000260932
-1653.586792	-0.000261317
-1663.597961	-0.000261765
-1673.629883	-0.000261061
-1683.545776	-0.000260827
-1694.621277	-0.000261819
-1704.078186	-0.000261146
-1713.472595	-0.000261335
-1723.500183	-0.000261857
-1733.636963	-0.000261077
-1743.656128	-0.000260903
-1753.102661	-0.000261177
-1763.655701	-0.000260977
-1773.161926	-0.000261656
-1783.397522	-0.000261039
-1793.739014	-0.00026169
-1803.871277	-0.000261084
-1813.325562	-0.000261081
-1823.313293	-0.000261442
-1833.335693	-0.000261386
-1842.776245	-0.000261015
-1853.294861	-0.000260905
-1863.275574	-0.000261391
-1873.311768	-0.000261059
-1883.406067	-0.00026169
-1893.292664	-0.000260907
-1903.726257	-0.000261586
-1913.255066	-0.000261118
-1923.251587	-0.000261204
-1933.232422	-0.000261255
-1943.26001	-0.000261548
-1953.215637	-0.000261272
-1963.28833	-0.000261303
-1972.761658	-0.000261094
-1983.198914	-0.000260497
-1993.747009	-0.000261707
-2003.231689	-0.000261309
-2012.678223	-0.000261101
-2023.150085	-0.000261067
-2033.185486	-0.000260828
-2043.189575	-0.000261917
-2052.75293	-0.000261139
-2063.130249	-0.00026155
-2072.614136	-0.000261257
-2082.66687	-0.000261386
-2093.236694	-0.000261808
-2103.705566	-0.000261216
-2113.207642	-0.000260783
-2123.146118	-0.000261078
-2133.163208	-0.000261901
-2143.135498	-0.00026131
-2152.61499	-0.000260968
-2162.640869	-0.000261237
