Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3983688528.9205,299.718521118164,499.833847045898,2.21127969587283E-6,1.73664129160456E-7,1,2.99776006220938,40.0298881530762,2.00058432720005,18.7299996614456,2.35065076460611E-5,-2.90471049251949E-6,0.25,-6.6989586075284E-7,2.21167641245194E-6,-6.68411171207777E-7,299.715148925781,299.715148925781,499.827789306641,499.839904785156,53.7643176952942,20.5603955542019,2.33985781669617,0,0,0,120,300.526245117188,1,4,3,2.23983764648438,45.4545478820801,,,,,,,,,,,,,,,,
,3983688536.0095,299.735214233398,499.791473388672,2.15686436872071E-6,2.13753763019859E-7,1,2.99776006220938,40.0298881530762,2.00055838808966,18.7299996614456,2.28618233170955E-5,-2.45181595726696E-6,0.25,-6.15654536005914E-7,2.15722518404645E-6,-6.14207017977038E-7,299.734710693359,299.734710693359,499.779357910156,499.803588867188,53.496219113198,20.5597370780078,2.34161686897278,0,0,0,120,300.509948730469,6,4,3,2.24945068359375,45.4545478820801,,,,,,,,,,,,,,,,
,3983688537.9045,299.7392578125,499.815689086914,1.73616777487848E-6,2.0078187879594E-7,1,2.99776006220938,40.0298881530762,2.00061287194202,18.7299996614456,1.8645922885053E-5,-3.37805840327797E-6,0.25,-6.34604382874393E-7,1.73655042624982E-6,-6.33436028684008E-7,299.735717773438,299.735717773438,499.791473388672,499.839904785156,53.5532779951018,20.5596294893311,2.34213948249817,0,0,0,120,300.303039550781,6,4,3,2.23434448242187,44.4770278930664,,,,,,,,,,,,,,,,
,3983688540.9025,299.745407104492,499.827789306641,1.82831626305369E-6,1.9450290186712E-7,1,2.99776006220938,40.0298881530762,2.00066776410009,18.7299996614456,1.9180387030115E-5,-9.21893040458511E-7,0.25,-4.07381417188521E-7,1.8285454766864E-6,-4.06156897633038E-7,299.742797851562,299.742797851562,499.815673828125,499.839904785156,53.6236245618326,20.5571712167983,2.34299302101135,0,0,0,120,299.876525878906,6,4,3,2.2491455078125,44.9657897949219,,,,,,,,,,,,,,,,
,3983688543.961,299.747009277344,499.809631347656,2.0347234999416E-6,1.84176721190754E-7,1,2.99776006220938,40.0298881530762,2.00072197310583,18.7299996614456,2.17386901797635E-5,-3.29543869357262E-6,0.25,-6.78029211050102E-7,2.03512782227113E-6,-6.76661320146528E-7,299.748016357422,299.748016357422,499.803588867188,499.815673828125,53.4243092894287,20.5598230816185,2.34382820129395,0,0,0,120,299.431640625,6,4,3,2.2418212890625,44.9657897949219,,,,,,,,,,,,,,,,
,3983688546.959,299.738128662109,499.791473388672,1.69173774823636E-6,1.98697749184871E-7,1,2.99776006220938,40.0298881530762,2.00055364770924,18.7299996614456,1.8405664122183E-5,-4.66464919978048E-6,0.25,-7.54304065288357E-7,1.69220102278231E-6,-7.53162562054078E-7,299.746002197266,299.746002197266,499.791473388672,499.791473388672,53.587669649948,20.5574597893185,2.34463477134705,0,0,0,120,299.092559814453,6,4,3,2.24746704101562,44.9657897949219,,,,,,,,,,,,,,,,
,3983688549.885,299.714874267578,499.809631347656,1.86008431468352E-6,2.09541101104449E-7,1,2.99776006220938,40.0298881530762,2.00056153038262,18.7299996614456,2.00054453541439E-5,-3.7877775297568E-6,0.25,-6.96599778688853E-7,1.86050669940363E-6,-6.95348015621667E-7,299.730255126953,299.730255126953,499.791473388672,499.827789306641,53.9667594817749,20.5568172359562,2.34501433372498,0,0,0,120,298.726837158203,6,4,3,2.23342895507813,44.4770278930664,,,,,,,,,,,,,,,,
,3983688552.883,299.681304931641,499.839874267578,1.93725690712427E-6,1.99906365578591E-7,1,2.99776006220938,40.0298881530762,2.00049736124005,18.7299996614456,2.05351771006454E-5,-2.21171908151868E-6,0.25,-5.53920816369683E-7,1.93758463362567E-6,-5.52621223480128E-7,299.699493408203,299.699493408203,499.827789306641,499.851959228516,53.4985639987557,20.5601228115929,2.34545946121216,0,0,0,120,298.42822265625,6,4,3,2.23724365234375,45.4545478820801,,,,,,,,,,,,,,,,
,3983688555.8845,299.633392333984,499.827774047852,2.34628388295281E-6,2.32656500606545E-7,1,2.99776006220938,40.0298881530762,2.00051003277346,18.7299996614456,2.47526154560931E-5,-1.99344123138907E-6,0.25,-6.03031196687719E-7,2.34663893743763E-6,-6.01459146220447E-7,299.663116455078,299.663116455078,499.803588867188,499.851959228516,53.5759452221595,20.5577167659696,2.3461697101593,0,0,0,120,298.079833984375,6,4,3,2.24899291992187,45.4545478820801,,,,,,,,,,,,,,,,
,3983688558.874,299.56526184082,499.815689086914,1.87783106837516E-6,2.19704103594017E-7,1,2.99776006220938,40.0298881530762,2.0006155534322,18.7299996614456,1.97045351156641E-5,-9.76266208991703E-7,0.25,-4.21328089519148E-7,1.87807814252623E-6,-4.20071579234314E-7,299.603668212891,299.603668212891,499.803588867188,499.827789306641,53.6595794737172,20.5606799898285,2.34668231010437,0,0,0,120,297.768096923828,6,4,3,2.23648071289062,44.4770278930664,,,,,,,,,,,,,,,,
