Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 32.69 mm touchdown = 13.2900001481175 mm,3984747343.681,299.806121826172,0.254168182611465,3.97167591071475E-7,1.98611959080899E-7,1,2.99776006220938,40.0298881530762,2.00066455796623,21.5799994766712,5.88700392374226E-6,-1.0150641819482E-5,0.25,-1.07353205671702E-6,3.97871300444247E-7,-1.07324187516599E-6,299.806121826172,299.806121826172,0.254168182611465,0.254168182611465,52.7544536484479,20.488467681515,3.43594336509705,0,0,0,120,300.002044677734,1,4,3,2.24151611328125,37.6344108581543,,,,,,,,,,,,,,,,
,3984747349.247,299.807708740234,0.223910056054592,7.6442943870783E-7,2.01035402064712E-7,1,2.99776006220938,40.0298881530762,2.00058435811496,21.5799994766712,9.06989927577746E-6,-6.46289040561957E-6,0.25,-7.7198824876749E-7,7.64923741214437E-7,-7.71461342587326E-7,299.807739257812,299.807739257812,0.21785843372345,0.229961678385735,53.1163476528518,20.491625730153,3.44167733192444,0,0,0,120,300.000244140625,6,4,3,2.2412109375,38.6119270324707,,,,,,,,,,,,,,,,
,3984747351.1315,299.807281494141,0.21785843372345,8.90977576312662E-7,1.96976603701738E-7,1,2.99776006220938,40.0298881530762,2.0005791335658,21.5799994766712,1.01491763487234E-5,-5.09103387159381E-6,0.25,-6.5805797627061E-7,8.91393078951546E-7,-6.57449769808203E-7,299.807678222656,299.807678222656,0.21785843372345,0.21785843372345,52.7638331906787,20.489684348162,3.44527626037598,0,0,0,120,299.849975585937,6,4,3,2.24578857421875,39.1006851196289,,,,,,,,,,,,,,,,
,3984747354.2315,299.806564331055,0.223910056054592,6.26582240156395E-7,1.87514651826527E-7,1,2.99776006220938,40.0298881530762,2.00059842051153,21.5799994766712,7.31830252573194E-6,-4.62601422716308E-6,0.25,-5.66302986141763E-7,6.26943252658124E-7,-5.65872739626666E-7,299.806884765625,299.806884765625,0.21785843372345,0.229961678385735,53.0014482605248,20.4918451567929,3.44838380813599,0,0,0,120,299.649658203125,6,4,3,2.2430419921875,38.6119270324707,,,,,,,,,,,,,,,,
,3984747357.3255,299.802947998047,0.211806811392307,6.72389880085426E-7,1.78391378271674E-7,1,2.99776006220938,40.0298881530762,2.00052931977703,21.5799994766712,8.18417134449657E-6,-6.87903965287743E-6,0.25,-7.97290374791976E-7,6.72903351203064E-7,-7.96824111962866E-7,299.805236816406,299.805236816406,0.19365194439888,0.229961678385735,52.8537204703902,20.4906457343916,3.45068073272705,0,0,0,120,299.413421630859,6,4,3,2.25173950195313,39.5894432067871,,,,,,,,,,,,,,,,
,3984747360.235,299.793746948242,0.205755196511745,6.59349954066735E-7,2.1078455958535E-7,1,2.99776006220938,40.0298881530762,2.00055744775408,21.5799994766712,7.56443488979805E-6,-4.07873311650847E-6,0.25,-5.17796603861331E-7,6.59678185430459E-7,-5.17345932167508E-7,299.800659179687,299.800659179687,0.16944545507431,0.242064937949181,53.1343251087941,20.4933279394571,3.45380330085754,0,0,0,120,299.245452880859,6,4,3,2.2503662109375,38.6119270324707,,,,,,,,,,,,,,,,
,3984747363.0985,299.777359008789,0.248116560280323,1.13621837173862E-6,1.83952025043456E-7,1,2.99776006220938,40.0298881530762,2.00053431724057,21.5799994766712,1.24789080510565E-5,-3.81116349832595E-6,0.25,-5.73762605996755E-7,1.13657285462816E-6,-5.72993881157313E-7,299.786834716797,299.786834716797,0.242064937949181,0.254168182611465,52.710682451371,20.4918187240196,3.45671963691711,0,0,0,120,299.037414550781,6,4,3,2.24334716796875,40.0782012939453,,,,,,,,,,,,,,,,
,3984747366.243,299.751220703125,0.211806818842888,5.01024650796254E-7,1.84464076102463E-7,1,2.99776006220938,40.0298881530762,2.00057681437073,21.5799994766712,6.65602201183061E-6,-8.35046533581181E-6,0.25,-9.13314183848342E-7,5.01620254608347E-7,-9.12960237852182E-7,299.765411376953,299.765411376953,0.181548699736595,0.242064937949181,52.859973498544,20.491866840564,3.45896744728088,0,0,0,120,298.848907470703,6,4,3,2.24456787109375,40.0782012939453,,,,,,,,,,,,,,,,
,3984747369.0875,299.720413208008,0.205755189061165,6.72636742171409E-7,1.8222929845769E-7,1,2.99776006220938,40.0298881530762,2.00056637920852,21.5799994766712,8.48228878490683E-6,-8.58757102979369E-6,0.25,-9.66462939769054E-7,6.73264405424796E-7,-9.65994488964549E-7,299.737030029297,299.737030029297,0.181548699736595,0.229961678385735,52.8216737011017,20.4930956559416,3.46230101585388,0,0,0,120,298.689117431641,6,4,3,2.23068237304687,41.5444793701172,,,,,,,,,,,,,,,,
,3984747372.1085,299.683242797852,0.223910056054592,7.70769709720941E-7,1.79329335479666E-7,1,2.99776006220938,40.0298881530762,2.00053963978056,21.5799994766712,9.08058192240776E-6,-6.14400181437254E-6,0.25,-7.4152604256109E-7,7.71246556084803E-7,-7.40998010738792E-7,299.703796386719,299.703796386719,0.21785843372345,0.229961678385735,52.9506424067748,20.4927239866685,3.46523022651672,0,0,0,120,298.497253417969,6,4,3,2.244873046875,41.5444793701172,,,,,,,,,,,,,,,,
,3984747375.2295,299.632034301758,0.211806811392307,6.66862379478072E-7,1.90995681504852E-7,1,2.99776006220938,40.0298881530762,2.00051009762981,21.5799994766712,8.02014065748651E-6,-6.26306863712524E-6,0.25,-7.3535583498401E-7,6.67338364678422E-7,-7.34897986997013E-7,299.652526855469,299.652526855469,0.19365194439888,0.229961678385735,52.6333012279671,20.4919522137003,3.4678053855896,0,0,0,120,298.319549560547,6,4,3,2.24517822265625,41.5444793701172,,,,,,,,,,,,,,,,
,3984747378.1645,299.582992553711,0.21785844117403,5.56691106253113E-7,1.95963673955428E-7,1,2.99776006220938,40.0298881530762,2.00053390290895,21.5799994766712,6.65265555959216E-6,-4.98217923911903E-6,0.25,-5.89490696559989E-7,5.57073087461662E-7,-5.8910970623909E-7,299.611541748047,299.611541748047,0.205755203962326,0.229961678385735,52.9568954349287,20.4948101174688,3.470534324646,0,0,0,120,298.117462158203,6,4,3,2.24502563476562,41.5444793701172,,,,,,,,,,,,,,,,
,3984747381.2945,299.532363891602,0.205755203962326,4.87827086271373E-7,1.95425123682088E-7,1,2.99776006220938,40.0298881530762,2.00056633526857,21.5799994766712,5.66628886141016E-6,-3.42023160311757E-6,0.25,-4.22944943991359E-7,4.88100293372225E-7,-4.22613320982302E-7,299.554443359375,299.554443359375,0.205755203962326,0.205755203962326,52.9889422042171,20.494623301165,3.47316765785217,0,0,0,120,297.974822998047,6,4,3,2.24472045898438,40.5669593811035,,,,,,,,,,,,,,,,
,3984747384.227,299.472183227539,0.223910070955753,3.80360955761078E-7,1.97144252625964E-7,1,2.99776006220938,40.0298881530762,2.0005045289314,21.5799994766712,5.26553447417285E-6,-7.56902754013058E-6,0.25,-8.1511002502857E-7,3.80897635302572E-7,-8.14844648986297E-7,299.498413085937,299.498413085937,0.205755203962326,0.242064937949181,52.6708193968902,20.494548675217,3.47553896903992,0,0,0,120,297.796234130859,6,4,3,2.24639892578125,41.055721282959,,,,,,,,,,,,,,,,
,3984747387.082,299.415023803711,0.205755203962326,9.31613774075521E-7,1.98072419891876E-7,1,2.99776006220938,40.0298881530762,2.000444429971,21.5799994766712,1.04294414759891E-5,-4.26992709348834E-6,0.25,-5.83818845805006E-7,9.31989832492982E-7,-5.83190924178262E-7,299.445953369141,299.445953369141,0.205755203962326,0.205755203962326,52.7857187892171,20.4950827154459,3.4780261516571,0,0,0,120,297.637817382812,6,4,3,2.22747802734375,41.5444793701172,,,,,,,,,,,,,,,,
,3984747390.102,299.354888916016,0.205755203962326,6.41025300424359E-7,2.01471480971906E-7,1,2.99776006220938,40.0298881530762,2.00055245328377,21.5799994766712,7.53845494181121E-6,-5.03058951402232E-6,0.25,-6.08857766354385E-7,6.41423113002968E-7,-6.08423848268302E-7,299.384094238281,299.384094238281,0.205755203962326,0.205755203962326,52.9123426093325,20.4957341526375,3.48043489456177,0,0,0,120,297.441711425781,6,4,3,2.2454833984375,41.5444793701172,,,,,,,,,,,,,,,,
